Parcela,RaG,GE
And_1,6.4489,1.0779
And_2,5.4953,1.0758
And_3,5.5607,1.0644
And_4,7.59,1.0845
And_5,6.568,1.083
And_6,6.053,1.0835
And_7,7.3949,1.0912
And_8,6.9159,1.0833
And_9,5.4361,1.09
And_10,7.4455,1.0467
And_11,5.343,1.0823
And_12,6.466,1.0811
And_13,6.8629,1.0798
And_14,5.1869,1.0807
And_15,5.5794,1.0843
And_16,6.9782,1.0877
And_17,6.4704,1.0867
And_18,6.053,1.0968
And_19,7.5078,1.0964
And_20,6.4673,1.0947
And_21,5.6006,1.1049
And_22,6.0498,1.0807
And_23,5.0654,1.0661
And_24,7.758,1.0735
And_25,6.4081,1.0701
And_26,7.2928,1.0881
And_27,6.3396,1.0834
And_28,5.8255,1.0794
And_29,6.0623,1.0781
And_30,8.4455,1.0945
And_31,6.5981,1.0895
And_34,5.0935,1.0764
And_35,5.8411,1.0898
And_36,6.352,1.0951
And_37,6.5234,1.0831
And_38,7.1526,1.0802
And_39,3.8396,1.08
And_40,6.5265,1.0656
And_41,5.514,1.0713
And_42,5.81,1.0857
And_43,6.1994,1.0815
And_44,6.7944,1.0935
And_45,6.3988,1.0756
And_46,6.2991,1.0894
And_47,7.134,1.0877
And_48,7.4174,1.0781
And_49,4.9657,1.0829
And_50,6.4455,1.0769
And_51,5.3146,1.0759
And_52,4.891,1.0758
And_53,5.9252,1.0706
And_54,7.2804,1.085
And_55,7.2336,1.0615
And_56,6.3583,1.0654
And_57,7.9844,1.0706
And_58,8.6791,1.0543
And_59,3.5421,1.0617
And_60,5.6355,1.0788
And_62,2.5872,1.0716
And_63,7.4174,1.0762
And_64,4.4019,1.091
And_65,4.6916,1.0592
And_67,5.2897,1.0787
And_68,6.5607,1.075
And_69,4.2679,1.0696
And_72,7.0093,1.0675
And_73,7.866,1.0677
And_81,7.1832,1.0822
And_82,5.9782,1.0836
And_83,6.0903,1.0826
And_84,6.1558,1.0684
And_85,8.2368,1.0882
And_86,7.676,1.0614
And_87,3.5592,1.0768
And_88,6.2399,1.0843
And_89,7.9751,1.0706
And_90,6.6511,1.0825
And_91,1.0389,0
And_92,8.2648,1.0439
And_93,6.8224,1.0703
And_94,6.2773,1.069
And_95,6.7819,1.0497
And_96,1.0202,0
And_97,6.891,1.0726
And_98,7.5265,1.0564
And_99,6.0436,1.0594
And_100,6.0935,1.0685
And_104,7.0343,1.0592
