Parcela,RaG
And_1,0.6388
And_2,0.5384
And_3,0.5453
And_4,0.759
And_5,0.6514
And_6,0.5972
And_7,0.7385
And_8,0.688
And_9,0.5322
And_10,0.7438
And_11,0.5224
And_12,0.6406
And_13,0.6824
And_14,0.506
And_15,0.5473
And_16,0.6946
And_17,0.6411
And_18,0.5972
And_19,0.7504
And_20,0.6408
And_21,0.5495
And_22,0.5968
And_23,0.4932
And_24,0.7767
And_25,0.6346
And_26,0.7277
And_27,0.6273
And_28,0.5732
And_29,0.5981
And_30,0.8491
And_31,0.6546
And_34,0.4961
And_35,0.5748
And_36,0.6286
And_37,0.6467
And_38,0.713
And_39,0.3641
And_40,0.647
And_41,0.5404
And_42,0.5716
And_43,0.6126
And_44,0.6752
And_45,0.6336
And_46,0.6231
And_47,0.711
And_48,0.7408
And_49,0.4827
And_50,0.6385
And_51,0.5194
And_52,0.4748
And_53,0.5837
And_54,0.7264
And_55,0.7215
And_56,0.6293
And_57,0.8005
And_58,0.8737
And_59,0.3328
And_60,0.5532
And_62,0.2322
And_63,0.7408
And_64,0.4233
And_65,0.4538
And_67,0.5168
And_68,0.6506
And_69,0.4092
And_72,0.6979
And_73,0.7881
And_81,0.7162
And_82,0.5893
And_83,0.6011
And_84,0.608
And_85,0.8271
And_86,0.7681
And_87,0.3346
And_88,0.6168
And_89,0.7996
And_90,0.6601
And_91,0.0692
And_92,0.8301
And_93,0.6782
And_94,0.6208
And_95,0.6739
And_96,0.0672
And_97,0.6854
And_98,0.7523
And_99,0.5962
And_100,0.6014
And_104,0.7005
And_107,0.7248
And_108,0.7805
And_109,0.256
And_110,0.7527
And_112,1
And_113,0.6027
And_115,0.7458
And_116,0.6332
And_117,0.4932
And_118,0.7687
And_119,0.6464
And_120,0.7497
And_121,0.4928
And_122,0.5788
And_123,0.6998
And_124,0.7018
And_125,0.8137
And_126,0.2491
And_127,0.5683
And_128,0.7631
And_129,0.6411
And_130,0.6897
And_131,0.5273
And_132,0.6624
And_133,0.5
And_134,0.9131
And_136,0.9377
And_137,0.7359
And_138,0.8983
And_139,0.816
And_140,0.8494
And_141,0.8993
And_142,0.7418
And_143,0.8215
And_144,0.6155
And_146,0.9167
And_148,0.7172
And_149,0.5105
And_150,0.7369
And_152,0.9767
And_153,0.5355
And_154,0.7651
And_155,0.4925
And_156,0.5843
And_157,0.6142
And_158,0.4404
And_159,0.7874
And_160,0.6106
And_163,0.627
And_164,0.6815
And_166,0.442
And_167,0.8357
And_168,0.9203
And_169,0.5814
And_170,0.2425
And_171,0.7064
And_172,0.5821
And_173,0.9364
And_174,0.4269
And_175,0.6979
And_176,0.7402
And_177,0.4466
And_178,0.4728
And_179,0.7389
And_180,0.583
And_181,0.6093
And_182,0.936
And_184,0.6759
And_185,0.7845
And_186,0.5729
And_188,0.9052
And_189,0.7366
And_190,0.8694
And_191,0.7895
And_193,0.5768
And_194,0.5945
And_195,0.8324
And_196,0.8094
And_198,0.6769
And_199,0.8655
And_200,0.6218
And_201,0.8751
And_202,0.6631
And_203,0.5703
And_204,0.5978
And_205,0.8589
And_206,0.6857
And_207,0.6897
And_208,0.4886
And_209,0.5453
And_210,0.796
And_211,0.6634
And_212,0.524
And_213,0.7093
And_214,0.7048
And_215,0.5529
And_216,0.5542
And_217,0.4543
And_218,0.8816
And_219,0.8786
And_220,0.7198
And_221,0.4978
