Parcela,RaG
And_1,0.1051
And_2,0.0885
And_3,0.0897
And_4,0.1248
And_5,0.1071
And_6,0.0982
And_7,0.1214
And_8,0.1131
And_9,0.0875
And_10,0.1223
And_11,0.0859
And_12,0.1053
And_13,0.1122
And_14,0.0832
And_15,0.09
And_16,0.1142
And_17,0.1054
And_18,0.0982
And_19,0.1234
And_20,0.1054
And_21,0.0904
And_22,0.0981
And_23,0.0811
And_24,0.1277
And_25,0.1043
And_26,0.1197
And_27,0.1032
And_28,0.0943
And_29,0.0984
And_30,0.1396
And_31,0.1076
And_34,0.0816
And_35,0.0945
And_36,0.1034
And_37,0.1063
And_38,0.1172
And_39,0.0599
And_40,0.1064
And_41,0.0889
And_42,0.094
And_43,0.1007
And_44,0.111
And_45,0.1042
And_46,0.1025
And_47,0.1169
And_48,0.1218
And_49,0.0794
And_50,0.105
And_51,0.0854
And_52,0.0781
And_53,0.096
And_54,0.1195
And_55,0.1186
And_56,0.1035
And_57,0.1316
And_58,0.1437
And_59,0.0547
And_60,0.091
And_62,0.0382
And_63,0.1218
And_64,0.0696
And_65,0.0746
And_67,0.085
And_68,0.107
And_69,0.0673
And_72,0.1148
And_73,0.1296
And_81,0.1178
And_82,0.0969
And_83,0.0988
And_84,0.1
And_85,0.136
And_86,0.1263
And_87,0.055
And_88,0.1014
And_89,0.1315
And_90,0.1086
And_91,0.0114
And_92,0.1365
And_93,0.1115
And_94,0.1021
And_95,0.1108
And_96,0.011
And_97,0.1127
And_98,0.1237
And_99,0.098
And_100,0.0989
And_104,0.1152
And_107,0.1192
And_108,0.1284
And_109,0.0421
And_110,0.1238
And_112,0.1644
And_113,0.0991
And_115,0.1226
And_116,0.1041
And_117,0.0811
And_118,0.1264
And_119,0.1063
And_120,0.1233
And_121,0.081
And_122,0.0952
And_123,0.1151
And_124,0.1154
And_125,0.1338
And_126,0.041
And_127,0.0934
And_128,0.1255
And_129,0.1054
And_130,0.1134
And_131,0.0867
And_132,0.1089
And_133,0.0822
And_134,0.1501
And_136,0.1542
And_137,0.121
And_138,0.1477
And_139,0.1342
And_140,0.1397
And_141,0.1479
And_142,0.122
And_143,0.1351
And_144,0.1012
And_146,0.1507
And_148,0.1179
And_149,0.084
And_150,0.1212
And_152,0.1606
And_153,0.0881
And_154,0.1258
